dialog_id,utterance_id,speaker,text
0,0,agent,"Hi, thanks for calling."
0,1,customer,I’m calling in an order.
0,2,customer,I’ll take one lasagna.
0,3,agent,Gotcha.
0,4,agent,Next item?
0,5,customer,One second.
0,6,customer,I’ll take one penne vodka.
0,7,agent,Sure.
0,8,agent,Go ahead.
0,9,customer,I’ll take one spaghetti and meatballs.
0,10,agent,Sure.
0,11,agent,Keep going.
0,12,customer,One second.
0,13,customer,I’ll take one garlic knots.
0,14,agent,Added.
0,15,agent,Keep going.
0,16,customer,One second.
0,17,customer,I’ll take one chicken parmesan.
0,18,agent,Sounds good.
0,19,customer,That’s everything.
0,20,agent,Pickup or delivery?
0,21,customer,Pickup.
0,22,agent,You’re all set.
0,23,customer,Thank you.
1,0,agent,Thank you for calling.
1,1,customer,"Hey, can I order some food?"
1,2,customer,"Actually, hang on."
1,3,customer,I’ll take one smoked salmon.
1,4,agent,Sure.
1,5,agent,Next item?
1,6,customer,I’ll take one california roll.
1,7,agent,Sure.
1,8,agent,What else can I get you?
1,9,customer,I’ll take one tuna avocado roll.
1,10,agent,All right.
1,11,customer,That should do it.
1,12,agent,Pickup or delivery?
1,13,customer,Pickup.
1,14,agent,That’ll be ready shortly.
1,15,customer,Thank you.
2,0,agent,"Good evening, how can I help you?"
2,1,customer,I’m calling in an order.
2,2,customer,Sorry—
2,3,customer,I’ll take one meat lovers pizza.
2,4,agent,Okay.
2,5,agent,Keep going.
2,6,customer,Sorry—
2,7,customer,I’ll take one garlic bread.
2,8,agent,Okay.
2,9,agent,Go ahead.
2,10,customer,"Actually, hang on."
2,11,customer,I’ll take one calzone.
2,12,agent,Okay.
2,13,agent,Go ahead.
2,14,customer,"Actually, hang on."
2,15,customer,I’ll take one pepperoni pizza.
2,16,agent,Okay.
2,17,customer,"Yep, that’s it."
2,18,agent,Pickup or delivery?
2,19,customer,Delivery.
2,20,agent,You’re all set.
2,21,customer,Thank you.
3,0,agent,"Good evening, how can I help you?"
3,1,customer,"Hey, can I order some food?"
3,2,customer,I’ll take one large cheese pizza.
3,3,agent,Okay.
3,4,agent,What else can I get you?
3,5,customer,"Uh, let me think."
3,6,customer,I’ll take one buffalo chicken pizza.
3,7,agent,Gotcha.
3,8,agent,Anything else?
3,9,customer,I’ll take one margherita pizza.
3,10,agent,No problem.
3,11,customer,"Yep, that’s it."
3,12,agent,Pickup or delivery?
3,13,customer,Pickup.
3,14,agent,"Thanks, we’ll take care of it."
3,15,customer,Thank you.
4,0,agent,"Good evening, how can I help you?"
4,1,customer,I’m calling in an order.
4,2,customer,One second.
4,3,customer,I’ll take one shokudo ramen.
4,4,agent,All right.
4,5,agent,Go ahead.
4,6,customer,I’ll take one turtle wagy tamaki for two.
4,7,agent,Sure.
4,8,agent,What else can I get you?
4,9,customer,I’ll take one golden bun four pieces.
4,10,agent,Sure.
4,11,agent,Next item?
4,12,customer,I’ll take one spider roll.
4,13,agent,Sure.
4,14,agent,What else can I get you?
4,15,customer,"Uh, let me think."
4,16,customer,I’ll take one spicy ramen.
4,17,agent,Okay.
4,18,agent,Next item?
4,19,customer,I’ll take one maguro tamaki for two.
4,20,agent,Sure.
4,21,customer,That should do it.
4,22,agent,Pickup or delivery?
4,23,customer,Pickup.
4,24,agent,"Thanks, we’ll take care of it."
4,25,customer,Thank you.
5,0,agent,"Hi, thanks for calling."
5,1,customer,I’m calling in an order.
5,2,customer,I’ll take one sesame chicken.
5,3,agent,Gotcha.
5,4,agent,Anything else?
5,5,customer,"Actually, hang on."
5,6,customer,I’ll take one vegetable fried rice.
5,7,agent,No problem.
5,8,customer,I’ll take one hot and sour soup.
5,9,agent,Gotcha.
5,10,agent,Next item?
5,11,customer,"Actually, hang on."
5,12,customer,I’ll take one shrimp lo mein.
5,13,agent,Okay.
5,14,agent,Keep going.
5,15,customer,I’ll take one pork dumplings.
5,16,agent,Sure.
5,17,agent,Next item?
5,18,customer,I’ll take one beef with broccoli.
5,19,customer,That should do it.
5,20,agent,Pickup or delivery?
5,21,customer,Pickup.
5,22,agent,You’re all set.
5,23,customer,Thank you.
6,0,agent,"Hello, restaurant speaking."
6,1,customer,"Hello, I need to order dinner."
6,2,customer,I’ll take one caesar salad.
6,3,agent,All right.
6,4,agent,What else can I get you?
6,5,customer,I’ll take one fries.
6,6,agent,Sure.
6,7,customer,"Actually, hang on."
6,8,customer,I’ll take one milkshake.
6,9,agent,Sounds good.
6,10,customer,I’ll take one grilled chicken sandwich.
6,11,customer,That’s everything.
6,12,agent,Pickup or delivery?
6,13,customer,Delivery.
6,14,agent,"Thanks, we’ll take care of it."
6,15,customer,Thank you.
7,0,agent,"Good evening, how can I help you?"
7,1,customer,"Hello, I need to order dinner."
7,2,customer,I’ll take one onion rings.
7,3,agent,All right.
7,4,agent,What else can I get you?
7,5,customer,I’ll take one grilled chicken sandwich.
7,6,agent,Gotcha.
7,7,agent,Go ahead.
7,8,customer,Sorry—
7,9,customer,I’ll take one milkshake.
7,10,agent,No problem.
7,11,agent,Go ahead.
7,12,customer,I’ll take one caesar salad.
7,13,agent,Added.
7,14,customer,I’ll take one bacon burger.
7,15,agent,I’ve got that.
7,16,customer,That’s everything.
7,17,agent,Pickup or delivery?
7,18,customer,Pickup.
