dialog_id,utterance_id,speaker,text
0,0,agent,Thank you for calling.
0,1,customer,I’m calling in an order.
0,2,customer,"Uh, let me think."
0,3,customer,I’ll take one cheese quesadilla.
0,4,agent,All right.
0,5,agent,Keep going.
0,6,customer,I’ll take one steak burrito.
0,7,agent,Added.
0,8,customer,That’s everything.
0,9,agent,Pickup or delivery?
0,10,customer,Pickup.
0,11,agent,That’ll be ready shortly.
0,12,customer,Thank you.
1,0,agent,"Hi, thanks for calling."
1,1,customer,"Hey, can I order some food?"
1,2,customer,I’ll take one fries.
1,3,agent,No problem.
1,4,agent,Anything else?
1,5,customer,I’ll take one onion rings.
1,6,agent,Sure.
1,7,agent,What else can I get you?
1,8,customer,"Uh, let me think."
1,9,customer,I’ll take one cheeseburger.
1,10,agent,Sounds good.
1,11,agent,Go ahead.
1,12,customer,One second.
1,13,customer,I’ll take one bacon burger.
1,14,agent,Added.
1,15,agent,Next item?
1,16,customer,Sorry—
1,17,customer,I’ll take one grilled chicken sandwich.
1,18,agent,No problem.
1,19,customer,That should do it.
1,20,agent,Pickup or delivery?
1,21,customer,Pickup.
1,22,agent,We’ll get started on that.
1,23,customer,Thank you.
2,0,agent,Thank you for calling.
2,1,customer,"Hi, I’d like to place an order."
2,2,customer,One second.
2,3,customer,I’ll take one cheeseburger.
2,4,agent,What else can I get you?
2,5,customer,I’ll take one caesar salad.
2,6,agent,Gotcha.
2,7,customer,"Actually, hang on."
2,8,customer,I’ll take one bacon burger.
2,9,agent,Anything else?
2,10,customer,I’ll take one fries.
2,11,agent,Okay.
2,12,agent,Anything else?
2,13,customer,I’ll take one onion rings.
2,14,agent,Sure.
2,15,customer,I think that’s all.
2,16,agent,Pickup or delivery?
2,17,customer,Delivery.
2,18,agent,We’ll get started on that.
2,19,customer,Thank you.
3,0,agent,"Good evening, how can I help you?"
3,1,customer,I’m calling in an order.
3,2,customer,I’ll take one steam bun two pieces pork or chicken.
3,3,agent,Sure.
3,4,agent,Quick question— they want Pork or Chicken
3,5,customer,Medium.
3,6,agent,Go ahead.
3,7,customer,I’ll take one tuna poke bowl.
3,8,customer,That’s everything.
3,9,agent,Pickup or delivery?
3,10,customer,Delivery.
3,11,agent,You’re all set.
3,12,customer,Thank you.
4,0,agent,"Hello, restaurant speaking."
4,1,customer,"Hi, I’d like to place an order."
4,2,customer,One second.
4,3,customer,I’ll take one lasagna.
4,4,customer,I’ll take one caesar salad.
4,5,agent,Added.
4,6,customer,I think that’s all.
4,7,agent,Pickup or delivery?
4,8,customer,Delivery.
4,9,agent,You’re all set.
4,10,customer,Thank you.
5,0,agent,"Hello, restaurant speaking."
5,1,customer,"Hi, I’d like to place an order."
5,2,customer,One second.
5,3,customer,I’ll take one beef with broccoli.
5,4,agent,Keep going.
5,5,customer,I’ll take one vegetable fried rice.
5,6,agent,Added.
5,7,agent,Anything else?
5,8,customer,"Uh, let me think."
5,9,customer,I’ll take one kung pao chicken.
5,10,agent,No problem.
5,11,agent,Keep going.
5,12,customer,I’ll take one shrimp lo mein.
5,13,agent,No problem.
5,14,customer,That’s everything.
5,15,agent,Pickup or delivery?
5,16,customer,Pickup.
5,17,agent,"Thanks, we’ll take care of it."
5,18,customer,Thank you.
6,0,agent,"Good evening, how can I help you?"
6,1,customer,"Hey, can I order some food?"
6,2,customer,I’ll take one sesame chicken.
6,3,agent,All right.
6,4,agent,What else can I get you?
6,5,customer,"Actually, hang on."
6,6,customer,I’ll take one vegetable fried rice.
6,7,agent,Next item?
6,8,customer,I’ll take one general tso chicken.
6,9,agent,Added.
6,10,agent,Keep going.
6,11,customer,I’ll take one kung pao chicken.
6,12,agent,Added.
6,13,agent,Keep going.
6,14,customer,"Actually, hang on."
6,15,customer,I’ll take one hot and sour soup.
6,16,agent,Sure.
6,17,agent,Anything else?
6,18,customer,I’ll take one beef with broccoli.
6,19,agent,Okay.
6,20,customer,I think that’s all.
6,21,agent,Pickup or delivery?
6,22,customer,Pickup.
6,23,agent,You’re all set.
6,24,customer,Thank you.
7,0,agent,"Good evening, how can I help you?"
7,1,customer,"Hey, can I order some food?"
7,2,customer,I’ll take one penne vodka.
7,3,agent,No problem.
7,4,agent,What else can I get you?
7,5,customer,"Actually, hang on."
7,6,customer,I’ll take one spaghetti and meatballs.
7,7,agent,Okay.
7,8,agent,Next item?
7,9,customer,I’ll take one eggplant rollatini.
7,10,agent,Added.
7,11,customer,I’ll take one chicken parmesan.
7,12,agent,No problem.
7,13,customer,That’s everything.
7,14,agent,Pickup or delivery?
7,15,customer,Delivery.
7,16,agent,You’re all set.
7,17,customer,Thank you.
8,0,agent,"Hi, thanks for calling."
8,1,customer,"Hello, I need to order dinner."
8,2,customer,I’ll take one caesar salad.
8,3,agent,No problem.
8,4,agent,Anything else?
8,5,customer,Sorry—
8,6,customer,I’ll take one garlic knots.
8,7,agent,Gotcha.
8,8,customer,"Yep, that’s it."
8,9,agent,Pickup or delivery?
8,10,customer,Pickup.
8,11,agent,That’ll be ready shortly.
8,12,customer,Thank you.
9,0,agent,Thank you for calling.
9,1,customer,"Hi, I’d like to place an order."
9,2,customer,I’ll take one veggie pizza.
9,3,agent,No problem.
9,4,agent,Go ahead.
9,5,customer,I’ll take one large cheese pizza.
9,6,agent,I’ve got that.
9,7,agent,Anything else?
9,8,customer,Sorry—
9,9,customer,I’ll take one buffalo chicken pizza.
9,10,agent,I’ve got that.
9,11,customer,"Yep, that’s it."
9,12,agent,Pickup or delivery?
9,13,customer,Delivery.
9,14,agent,You’re all set.
9,15,customer,Thank you.
10,0,agent,"Good evening, how can I help you?"
10,1,customer,"Hello, I need to order dinner."
10,2,customer,I’ll take one white profiteroles.
10,3,agent,All right.
10,4,customer,I’ll take one alaska roll.
10,5,agent,Sounds good.
10,6,customer,I’ll take one n j fifty seven roll.
10,7,agent,Sounds good.
10,8,agent,Anything else?
10,9,customer,I’ll take one edamame.
10,10,agent,No problem.
10,11,agent,Anything else?
10,12,customer,I’ll take one shokudo ramen.
10,13,agent,Gotcha.
10,14,customer,That should do it.
10,15,agent,Pickup or delivery?
10,16,customer,Delivery.
10,17,agent,We’ll get started on that.
10,18,customer,Thank you.
11,0,agent,"Hello, restaurant speaking."
11,1,customer,"Hi, I’d like to place an order."
11,2,customer,I’ll take one onion rings.
11,3,agent,All right.
11,4,agent,Anything else?
11,5,customer,I’ll take one bacon burger.
11,6,agent,Gotcha.
11,7,agent,Next item?
11,8,customer,I’ll take one grilled chicken sandwich.
11,9,agent,Go ahead.
11,10,customer,Sorry—
11,11,customer,I’ll take one caesar salad.
11,12,agent,Sounds good.
11,13,customer,I’ll take one fries.
11,14,agent,All right.
11,15,customer,"Yep, that’s it."
11,16,agent,Pickup or delivery?
11,17,customer,Delivery.
11,18,agent,"Thanks, we’ll take care of it."
11,19,customer,Thank you.
12,0,agent,Thank you for calling.
12,1,customer,"Hello, I need to order dinner."
12,2,customer,I’ll take one caesar salad.
12,3,agent,I’ve got that.
12,4,customer,One second.
12,5,customer,I’ll take one fries.
12,6,agent,I’ve got that.
12,7,customer,I’ll take one chicken tenders.
12,8,agent,Sounds good.
12,9,customer,"Uh, let me think."
12,10,customer,I’ll take one onion rings.
12,11,agent,All right.
12,12,agent,Keep going.
12,13,customer,I’ll take one cheeseburger.
12,14,agent,Sounds good.
12,15,customer,That should do it.
12,16,agent,Pickup or delivery?
12,17,customer,Pickup.
12,18,agent,That’ll be ready shortly.
12,19,customer,Thank you.
13,0,agent,"Hi, thanks for calling."
13,1,customer,"Hello, I need to order dinner."
13,2,customer,I’ll take one cheese quesadilla.
13,3,agent,All right.
13,4,agent,Anything else?
13,5,customer,One second.
